ch_name,mal_id,mal_title,img_url,mal_year
Rewrite 第二季,34126,Rewrite 2nd Season,https://cdn.myanimelist.net/images/anime/13/83930.jpg,2017
IS 〈Infinite Stratos〉第二季,18247,IS: Infinite Stratos 2,https://cdn.myanimelist.net/images/anime/12/49359.jpg,2013
劇場版 境界的彼方 未來篇,28675,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,https://cdn.myanimelist.net/images/anime/9/72614.jpg,2015
Rewrite,31716,Rewrite,https://cdn.myanimelist.net/images/anime/1827/92122.jpg,2016
幸腹塗鴉,24629,Koufuku Graffiti,https://cdn.myanimelist.net/images/anime/4/71963.jpg,2015
OVERLORD 第二季,35073,Overlord II,https://cdn.myanimelist.net/images/anime/1212/113415.jpg,2018
地縛少年花子君,39534,Jibaku Shounen Hanako-kun,https://cdn.myanimelist.net/images/anime/1050/111687.jpg,2020
果然我的青春戀愛喜劇搞錯了。完,39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,https://cdn.myanimelist.net/images/anime/1958/107912.jpg,2020
DARLING in the FRANXX,35849,Darling in the FranXX,https://cdn.myanimelist.net/images/anime/1614/90408.jpg,2018
這樣算是殭屍嗎？,8841,Kore wa Zombie desu ka?,https://cdn.myanimelist.net/images/anime/13/75521.jpg,2011
貓娘樂園,38924,Nekopara,https://cdn.myanimelist.net/images/anime/1716/104880.jpg,2020
Love Live! 第二季,19111,Love Live! School Idol Project 2nd Season,https://cdn.myanimelist.net/images/anime/10/59101.jpg,2014
鹿乃子乃子乃子虎視眈眈,58426,Shikanoko Nokonoko Koshitantan,https://cdn.myanimelist.net/images/anime/1094/143324.jpg,2024
甲鐵城的卡巴內里,28623,Koutetsujou no Kabaneri,https://cdn.myanimelist.net/images/anime/12/79164.jpg,2016
福音戰士新劇場版：Q,3785,Evangelion Movie 3: Q,https://cdn.myanimelist.net/images/anime/9/43201.jpg,2012
福音戰士新劇場版：破,3784,Evangelion Movie 2: Ha,https://cdn.myanimelist.net/images/anime/5/74983.jpg,2009
新世紀福音戰士劇場版： AIR / 真心為你,32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",https://cdn.myanimelist.net/images/anime/1404/98182.jpg,1997
新世紀福音戰士新劇場版：終,3786,Shin Evangelion Movie:||,https://cdn.myanimelist.net/images/anime/1422/113533.jpg,2021
新世紀福音戰士,30,Shinseiki Evangelion,https://cdn.myanimelist.net/images/anime/1314/108941.jpg,1995
中二病也想談戀愛！戀,18671,Chuunibyou demo Koi ga Shitai! Ren,https://cdn.myanimelist.net/images/anime/7/56643.jpg,2014
+模型社傻妞,10711,Plastic Neesan,https://cdn.myanimelist.net/images/anime/13/76583.jpg,2011
